selector,classifier,replication_mode,fold,n_train,n_test,n_test_fails,n_selected_features,BER,True+,True-,threshold_oof_global,alpha,gamma,C,n_neighbors
S2N,logreg,with_missing_indicators,3,1410,157,10,40,0.35850340136054415,0.8,0.48299319727891155,0.40416100359229173,,,0.01,
S2N,logreg,with_missing_indicators,4,1410,157,11,40,0.27926525529265245,0.8181818181818182,0.6232876712328768,0.40416100359229173,,,0.01,
S2N,logreg,with_missing_indicators,5,1410,157,11,40,0.4259028642590287,0.5454545454545454,0.6027397260273972,0.40416100359229173,,,0.01,
S2N,logreg,with_missing_indicators,6,1410,157,11,40,0.299813200498132,0.8181818181818182,0.5821917808219178,0.40416100359229173,,,0.01,
S2N,logreg,with_missing_indicators,7,1410,157,11,40,0.4181195516811955,0.6363636363636364,0.5273972602739726,0.40416100359229173,,,0.01,
S2N,logreg,with_missing_indicators,8,1411,156,10,40,0.3726027397260274,0.7,0.5547945205479452,0.40416100359229173,,,0.01,
S2N,logreg,with_missing_indicators,9,1411,156,10,40,0.3726027397260274,0.7,0.5547945205479452,0.40416100359229173,,,0.01,
S2N,logreg,with_missing_indicators,10,1411,156,10,40,0.3226027397260274,0.8,0.5547945205479452,0.40416100359229173,,,0.01,
Welch-t,logreg,strict,1,1410,157,10,40,0.18843537414965983,0.8,0.8231292517006803,0.5983602507344885,,,1.0,
Welch-t,logreg,strict,2,1410,157,10,40,0.319047619047619,0.6,0.7619047619047619,0.5983602507344885,,,1.0,
Welch-t,logreg,strict,3,1410,157,10,40,0.40544217687074835,0.4,0.7891156462585034,0.5983602507344885,,,1.0,
Welch-t,logreg,strict,4,1410,157,11,40,0.2503113325031133,0.6363636363636364,0.863013698630137,0.5983602507344885,,,1.0,
Welch-t,logreg,strict,5,1410,157,11,40,0.3128891656288917,0.5454545454545454,0.8287671232876712,0.5983602507344885,,,1.0,
Welch-t,logreg,strict,6,1410,157,11,40,0.39352428393524286,0.36363636363636365,0.8493150684931506,0.5983602507344885,,,1.0,
Welch-t,logreg,strict,7,1410,157,11,40,0.3788916562889165,0.45454545454545453,0.7876712328767124,0.5983602507344885,,,1.0,
Welch-t,logreg,strict,8,1411,156,10,40,0.5356164383561643,0.1,0.8287671232876712,0.5983602507344885,,,1.0,
Welch-t,logreg,strict,9,1411,156,10,40,0.3027397260273973,0.6,0.7945205479452054,0.5983602507344885,,,1.0,
Welch-t,logreg,strict,10,1411,156,10,40,0.34246575342465757,0.5,0.815068493150685,0.5983602507344885,,,1.0,
Welch-t,logreg,with_missing_indicators,1,1410,157,10,40,0.19625850340136053,0.9,0.7074829931972789,0.505959615724288,,,0.01,
Welch-t,logreg,with_missing_indicators,2,1410,157,10,40,0.2030612244897959,0.9,0.6938775510204082,0.505959615724288,,,0.01,
Welch-t,logreg,with_missing_indicators,3,1410,157,10,40,0.30986394557823127,0.7,0.6802721088435374,0.505959615724288,,,0.01,
Welch-t,logreg,with_missing_indicators,4,1410,157,11,40,0.30168119551681194,0.6363636363636364,0.7602739726027398,0.505959615724288,,,0.01,
Welch-t,logreg,with_missing_indicators,5,1410,157,11,40,0.3119551681195517,0.6363636363636364,0.7397260273972602,0.505959615724288,,,0.01,
Welch-t,logreg,with_missing_indicators,6,1410,157,11,40,0.2665006226650062,0.7272727272727273,0.7397260273972602,0.505959615724288,,,0.01,
Welch-t,logreg,with_missing_indicators,7,1410,157,11,40,0.38138231631382324,0.5454545454545454,0.6917808219178082,0.505959615724288,,,0.01,
Welch-t,logreg,with_missing_indicators,8,1411,156,10,40,0.4575342465753425,0.4,0.684931506849315,0.505959615724288,,,0.01,
Welch-t,logreg,with_missing_indicators,9,1411,156,10,40,0.38013698630136994,0.5,0.7397260273972602,0.505959615724288,,,0.01,
Welch-t,logreg,with_missing_indicators,10,1411,156,10,40,0.18356164383561646,0.9,0.7328767123287672,0.505959615724288,,,0.01,
F-test,logreg,strict,1,1410,157,10,40,0.16224489795918373,0.9,0.7755102040816326,0.48133778049274895,,,0.01,
F-test,logreg,strict,2,1410,157,10,40,0.24625850340136046,0.8,0.7074829931972789,0.48133778049274895,,,0.01,
F-test,logreg,strict,3,1410,157,10,40,0.34285714285714286,0.6,0.7142857142857143,0.48133778049274895,,,0.01,
F-test,logreg,strict,4,1410,157,11,40,0.2630759651307597,0.7272727272727273,0.7465753424657534,0.48133778049274895,,,0.01,
F-test,logreg,strict,5,1410,157,11,40,0.32907845579078454,0.6363636363636364,0.7054794520547946,0.48133778049274895,,,0.01,
F-test,logreg,strict,6,1410,157,11,40,0.2914072229140723,0.6363636363636364,0.7808219178082192,0.48133778049274895,,,0.01,
F-test,logreg,strict,7,1410,157,11,40,0.33250311332503113,0.6363636363636364,0.6986301369863014,0.48133778049274895,,,0.01,
F-test,logreg,strict,8,1411,156,10,40,0.4506849315068493,0.4,0.6986301369863014,0.48133778049274895,,,0.01,
F-test,logreg,strict,9,1411,156,10,40,0.3609589041095891,0.6,0.678082191780822,0.48133778049274895,,,0.01,
F-test,logreg,strict,10,1411,156,10,40,0.34383561643835625,0.6,0.7123287671232876,0.48133778049274895,,,0.01,
F-test,logreg,with_missing_indicators,1,1410,157,10,40,0.2020408163265306,0.8,0.7959183673469388,0.5286968450647964,,,1.0,
F-test,logreg,with_missing_indicators,2,1410,157,10,40,0.23945578231292508,0.8,0.7210884353741497,0.5286968450647964,,,1.0,
F-test,logreg,with_missing_indicators,3,1410,157,10,40,0.3020408163265307,0.6,0.7959183673469388,0.5286968450647964,,,1.0,
F-test,logreg,with_missing_indicators,4,1410,157,11,40,0.3617683686176837,0.45454545454545453,0.821917808219178,0.5286968450647964,,,1.0,
F-test,logreg,with_missing_indicators,5,1410,157,11,40,0.24595267745952676,0.7272727272727273,0.7808219178082192,0.5286968450647964,,,1.0,
F-test,logreg,with_missing_indicators,6,1410,157,11,40,0.3128891656288917,0.5454545454545454,0.8287671232876712,0.5286968450647964,,,1.0,
